,,header_0,header_1,header_2,header_3,header_4,header_5,header_6,header_7,header_8,header_9
kingdom,Animalia,1.9670181,0.9705152,1.2189096,1.174756,1.5679862,1.56488,1.4004811,1.0848593,0.95617914,1.0324117
kingdom,Chromista,2.08857,2.7552416,4.174837,3.0285113,0.7395101,2.702836,1.326509,0.74967223,2.582201,0.7471774
kingdom,Fungi,2.3609185,1.8192855,1.7475922,1.7349197,2.465463,2.2798119,2.002248,1.6805323,1.5393338,1.4606841
kingdom,Plantae,2.8465605,2.0100923,2.1547067,2.0961275,2.6495326,2.523669,2.3483465,2.0213711,1.9570162,1.8797368
kingdom,Protozoa,1.3605846,0.66409886,0.6821884,0.6693236,1.7834783,1.3634222,1.8824717,0.671548,0.6767773,0.6786761
phylum,Annelida,1.1093025,0.73974943,0.7355657,0.73672134,2.799235,2.045367,0.7361526,0.7405104,0.7414616,2.238668
phylum,Arthropoda,1.8511585,0.9353992,1.1364805,1.0816914,1.5306473,1.5301728,1.3325604,1.0446242,0.93624777,0.98177266
phylum,Ascomycota,1.935314,1.1932772,1.8774107,1.5098852,1.9436945,1.5849823,1.4803313,1.1713318,1.2647542,1.0645943
phylum,Basidiomycota,2.4682531,1.9998711,1.7038728,1.7974132,2.6084948,2.4667013,2.145591,1.8261619,1.617144,1.5747439
phylum,Bryophyta,1.7365407,2.0908775,2.3586183,0.7737964,2.1431017,1.9938363,2.314373,0.77141166,1.5344621,2.1523812
phylum,Bryozoa,0.5423664,0.5487969,0.5445745,3.6406467,0.53568596,0.5326862,2.4191597,0.54383105,0.5514106,0.54821813
phylum,Chordata,2.0307899,1.003017,1.2529689,1.2683476,1.5809528,1.5913799,1.4798521,1.1079713,0.98041046,1.0698836
phylum,Ciliophora,3.3679748,0.5327732,0.536894,4.2559743,0.5351763,2.595044,0.52509415,0.545055,0.5325748,0.5551084
phylum,Cnidaria,1.9726665,1.2418528,0.8132831,1.1880599,1.433417,1.0361226,1.8280739,1.6174833,0.81613356,0.82797194
phylum,Echinodermata,2.0588853,0.8065556,1.0475698,0.78303736,1.6833769,1.4074733,1.3235991,0.82411504,0.7814705,1.1835868
phylum,Foraminifera,1.5805537,4.01384,4.5342245,2.8985002,0.6871639,3.0651443,0.7910054,0.69219154,0.68411916,0.68013287
phylum,Heliozoa,0.00478416,0.0,0.0,0.0,0.0,0.0,0.0055242716,0.0,0.011048543,0.0
phylum,Marchantiophyta,3.523318,3.034416,0.64611936,0.648581,0.67065966,1.4663252,0.6530632,0.63976467,0.64871585,0.63774157
phylum,Miozoa,0.0055242716,0.0055242716,0.016572814,0.00478416,0.0,0.00390625,0.0027621358,0.00478416,0.0,0.0061763236
phylum,Mollusca,2.154533,0.9384318,1.631032,1.0687212,1.5394928,1.5371442,1.135513,1.1580325,0.93824464,1.0179802
phylum,Mycetozoa,1.3605846,0.66409886,0.6821884,0.6693236,1.7834783,1.3634222,1.8824717,0.671548,0.6767773,0.6786761
phylum,Nematoda,0.0,0.0,0.0,0.00390625,0.0055242716,0.0078125,0.0055242716,0.0,0.0055242716,0.0
phylum,Ochrophyta,0.0061763236,0.007307925,0.0,0.0,0.0,0.0,0.0,0.0,0.0027621358,0.0
phylum,Platyhelminthes,0.99822617,0.41040438,0.3961198,0.42818245,4.674452,0.4790128,0.38527712,0.4181497,0.39916873,0.40271902
phylum,Porifera,0.0027621358,0.0067658233,0.007307925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phylum,Rhodophyta,0.0,0.00478416,0.0061763236,0.0,0.0,0.0,0.0,0.0067658233,0.00478416,0.0
phylum,Tracheophyta,2.8511777,2.0069435,2.1550922,2.1067793,2.6554666,2.5284824,2.349218,2.0315483,1.9616896,1.8793876
class,Actinopterygii,2.208452,1.1913828,1.6074277,1.4284235,2.0400693,1.7692976,1.6480254,1.1999781,1.0732567,1.1532668
class,Agaricomycetes,2.4791412,2.0125978,1.7215861,1.8481324,2.6575544,2.5258145,2.1868644,1.8783689,1.6588167,1.6148487
class,Amphibia,2.119307,0.8689402,1.0419911,1.0707059,1.3712764,1.407024,1.5615698,1.0805345,0.828008,0.9055861
class,Anthozoa,1.7815232,1.3363607,0.770049,1.3173127,1.6254656,1.0289028,1.6070359,1.8876461,0.766299,0.83023685
class,Ascidiacea,1.2009672,0.40263045,0.40462816,0.70236564,0.57547295,0.42324293,0.6399978,0.39353526,0.39321968,0.40427554
